date,country,continent,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
July 2021,Afghanistan,Asia,122156,1940,45184,5048,86
July 2021,Albania,Europe,132523,2,53,2456,0
July 2021,Algeria,Africa,140075,449,38969,3726,10
July 2021,Andorra,Europe,13918,7,70,127,0
July 2021,Angola,Africa,38965,116,4791,903,3
July 2021,Anguilla,North America,109,0,0,,
July 2021,Antigua And Barbuda,North America,1264,1,0,42,0
July 2021,Argentina,South America,4491551,21177,304726,94772,468
July 2021,Armenia,Asia,225221,126,3822,4517,3
July 2021,Aruba,North America,11140,2,28,107,0
July 2021,Australia,Australia/Oceania,30644,33,376,910,0
July 2021,Austria,Europe,650474,62,1859,10706,4
July 2021,Azerbaijan,Asia,336122,75,872,4975,1
July 2021,Bahamas,North America,12735,149,886,246,0
July 2021,Bahrain,Asia,265975,148,2882,1353,1
July 2021,Bangladesh,Asia,921559,8301,86000,14646,143
July 2021,Barbados,North America,4082,1,36,47,0
July 2021,Belarus,Europe,418212,1023,4075,3153,10
July 2021,Belgium,Europe,1085131,581,23127,25173,3
July 2021,Belize,North America,13300,49,306,329,0
July 2021,Benin,Africa,8199,0,95,104,0
July 2021,Bermuda,North America,2514,0,15,33,0
July 2021,Bhutan,Asia,2104,4,292,1,0
July 2021,Bolivia,South America,439624,2001,61931,16767,65
July 2021,Bosnia And Herzegovina,Europe,205032,10,11844,9654,0
July 2021,Botswana,Africa,71443,1763,3962,1158,33
July 2021,Brazil,South America,18678474,63620,1227013,520189,1943
July 2021,British Virgin Islands,North America,350,37,49,1,0
July 2021,Brunei Darussalam,Asia,261,1,10,3,0
July 2021,Bulgaria,Europe,421902,73,8905,18067,6
July 2021,Burkina Faso,Africa,13485,6,9,168,0
July 2021,Burundi,Africa,5482,30,4701,8,0
July 2021,Cabo Verde,Africa,32594,70,615,287,1
July 2021,Cambodia,Asia,51384,999,5898,628,26
July 2021,Cameroon,Africa,80858,0,1310,1324,0
July 2021,Canada,North America,1415310,26,7072,26295,0
July 2021,Caribbean Netherlands,North America,1650,1,20,17,0
July 2021,Cayman Islands,North America,614,0,9,2,0
July 2021,Central African Republic,Africa,7141,0,184,98,0
July 2021,Chad,Africa,4951,0,8,174,0
July 2021,Channel Islands,Europe,4448,65,368,86,0
July 2021,Chile,South America,1558557,2655,23558,32588,43
July 2021,China Hong Kong Sar,Asia,11928,4,86,211,0
July 2021,China Macao Sar,Asia,54,0,3,,
July 2021,China,South America,91792,12,438,4636,0
July 2021,Colombia,South America,4269297,28315,198086,107137,593
July 2021,Comoros,Africa,3943,7,32,146,0
July 2021,Congo,Africa,12695,99,1318,166,1
July 2021,Costa Rica,North America,369540,1602,69994,4674,7
July 2021,Cote D Ivoire,Africa,48378,73,201,315,2
July 2021,Croatia,Europe,359975,103,525,8209,3
July 2021,Cuba,North America,193945,2952,16613,1302,18
July 2021,Curacao,North America,12343,1,20,126,0
July 2021,Cyprus,Asia,76333,473,3278,374,0
July 2021,Czech Republic,Europe,1667734,136,771,30361,1
July 2021,Democratic Republic Of The Congo,Africa,41353,112,11998,933,5
July 2021,Denmark,Europe,294152,475,3141,2535,1
July 2021,Djibouti,Africa,11602,0,4,155,0
July 2021,Dominica,North America,193,0,2,,
July 2021,Dominican Republic,North America,326193,972,54957,3840,18
July 2021,Ecuador,South America,459538,1034,4807,31043,43
July 2021,Egypt,Africa,281524,242,53271,16194,25
July 2021,El Salvador,North America,79360,202,4401,2387,6
July 2021,Equatorial Guinea,Africa,8742,8,86,122,1
July 2021,Eritrea,Africa,6028,19,444,25,2
July 2021,Estonia,Europe,131084,20,2399,1269,0
July 2021,Ethiopia,Africa,276250,76,11188,4325,5
July 2021,Faeroe Islands,Europe,778,2,13,1,0
July 2021,Falkland Islands Malvinas,South America,63,0,0,,
July 2021,Fiji,Australia/Oceania,4849,431,3907,24,3
July 2021,Finland,Europe,95964,222,48991,973,0
July 2021,France,Europe,5777965,2664,44098,111111,29
July 2021,French Guiana,South America,27628,92,17487,146,1
July 2021,French Polynesia,Australia/Oceania,19007,0,14,142,0
July 2021,Gabon,Africa,25054,0,166,159,0
July 2021,Gambia,Africa,6079,0,40,181,0
July 2021,Georgia,Asia,367058,980,9107,5327,11
July 2021,Germany,Europe,3736940,717,19710,91530,71
July 2021,Ghana,Africa,95914,0,1674,796,0
July 2021,Gibraltar,Europe,4351,3,28,94,0
July 2021,Greece,Europe,423185,729,5086,12691,4
July 2021,Greenland,North America,50,0,0,,
July 2021,Grenada,North America,161,0,0,1,
July 2021,Guadeloupe,North America,17028,0,14548,230,0
July 2021,Guatemala,North America,296438,2855,21804,9282,67
July 2021,Guinea Bissau,Africa,3869,10,212,69,0
July 2021,Guinea,Africa,23787,17,1138,172,1
July 2021,Guyana,South America,20142,87,1560,473,4
July 2021,Haiti,North America,18665,7,5362,438,2
July 2021,Holy See,Europe,27,0,0,,
July 2021,Honduras,North America,262760,691,163301,7005,25
July 2021,Hungary,Europe,808160,32,38964,29992,0
July 2021,Iceland,Europe,6654,5,24,30,0
July 2021,India,Asia,30453937,43360,512732,405118,810
July 2021,Indonesia,Asia,2203108,24836,253826,58995,504
July 2021,Iran,Asia,3218860,14303,244532,84389,125
July 2021,Iraq,Asia,1353458,7554,86121,17216,30
July 2021,Ireland,Europe,272784,448,10454,5000,2
July 2021,Isle Of Man,Europe,1620,7,22,29,0
July 2021,Israel,Asia,842067,290,2039,6428,0
July 2021,Italy,Europe,4260788,882,49358,127587,21
July 2021,Jamaica,North America,50166,42,18894,1080,5
July 2021,Japan,Asia,799975,1816,16866,14781,41
July 2021,Jordan,Asia,751937,533,6571,9756,6
July 2021,Kazakhstan,Asia,425573,2436,24802,4375,26
July 2021,Kenya,Africa,184537,376,10191,3640,6
July 2021,Kuwait,Asia,358511,1824,18703,1979,10
July 2021,Kyrgyzstan,Asia,126395,1392,13688,2009,9
July 2021,Laos,Asia,2144,23,155,3,0
July 2021,Latvia,Europe,137500,71,918,2520,7
July 2021,Lebanon,Asia,545016,150,4386,7854,3
July 2021,Lesotho,Africa,11416,72,4630,329,0
July 2021,Liberia,Africa,4304,211,1783,129,1
July 2021,Libya,Africa,193905,431,12086,3198,5
July 2021,Liechtenstein,Europe,3039,3,17,59,0
July 2021,Lithuania,Europe,278796,12,6689,4386,3
July 2021,Luxembourg,Europe,70895,108,351,818,0
July 2021,Macedonia,Europe,155689,5,141,5485,1
July 2021,Madagascar,Africa,42247,31,681,915,2
July 2021,Malawi,Africa,36359,233,1932,1199,3
July 2021,Malaysia,Asia,758967,6988,65453,5254,84
July 2021,Maldives,Asia,73931,133,3393,213,3
July 2021,Mali,Africa,14428,2,3841,525,0
July 2021,Malta,Europe,30627,4,46,420,0
July 2021,Marshall Islands,Australia/Oceania,4,0,0,,
July 2021,Martinique,North America,12374,0,12178,98,0
July 2021,Mauritania,Africa,20894,86,589,489,0
July 2021,Mauritius,Africa,1932,40,348,18,0
July 2021,Mayotte,Africa,19405,0,16267,174,0
July 2021,Mexico,North America,2519269,6105,285692,233047,244
July 2021,Micronesia,Australia/Oceania,1,0,0,,
July 2021,Moldova,Europe,256816,82,848,6194,0
July 2021,Monaco,Europe,2580,3,26,33,0
July 2021,Mongolia,Asia,117963,2485,38129,578,15
July 2021,Montenegro,Europe,100272,20,288,1613,0
July 2021,Montserrat,North America,20,0,0,1,
July 2021,Morocco,Africa,532150,789,4751,9298,2
July 2021,Mozambique,Africa,77205,801,4830,884,6
July 2021,Myanmar,Asia,159347,2070,19008,3347,13
July 2021,Namibia,Africa,91208,1291,21872,1556,35
July 2021,Nepal,Asia,640662,1857,31368,9145,33
July 2021,Netherlands,Europe,1685825,825,34042,17748,3
July 2021,New Caledonia,Australia/Oceania,129,0,71,,
July 2021,New Zealand,Australia/Oceania,2742,0,30,26,0
July 2021,Nicaragua,North America,8178,0,3762,191,0
July 2021,Niger,Africa,5492,3,92,193,0
July 2021,Nigeria,Africa,167692,74,1298,2121,1
July 2021,Norway,Europe,131509,193,41763,794,0
July 2021,Oman,Asia,270504,1959,30376,3140,40
July 2021,Pakistan,Asia,958408,1037,31767,22321,40
July 2021,Panama,North America,404983,1205,12760,6552,7
July 2021,Papua New Guinea,Australia/Oceania,17098,0,407,173,0
July 2021,Paraguay,South America,424998,1716,38728,13017,122
July 2021,Peru,South America,2057554,3079,,192687,122
July 2021,Philippines,Asia,1418326,5784,51679,24796,134
July 2021,Poland,Europe,2880011,99,153061,75044,23
July 2021,Portugal,Europe,882006,2449,34681,17101,5
July 2021,Qatar,Asia,222217,146,1641,591,1
July 2021,Reunion,Africa,30583,0,1761,237,0
July 2021,Romania,Europe,1080823,31,1253,34219,7
July 2021,Russia,Europe,5538142,23543,384935,135886,672
July 2021,Rwanda,Africa,39914,867,12194,448,10
July 2021,Saint Barthelemy,North America,1005,0,542,1,
July 2021,Saint Helena,Africa,2,0,0,,
July 2021,Saint Kitts And Nevis,North America,457,11,255,3,0
July 2021,Saint Lucia,North America,5302,6,94,84,0
July 2021,Saint Martin,North America,2314,38,879,36,0
July 2021,Saint Pierre And Miquelon,North America,26,0,0,,
July 2021,Saint Vincent And The Grenadines,North America,2227,2,209,12,0
July 2021,Samoa,Australia/Oceania,3,0,0,,
July 2021,San Marino,Europe,5091,0,1,90,0
July 2021,Sao Tome And Principe,Africa,2369,3,12,37,0
July 2021,Saudi Arabia,Asia,489126,1534,12174,7832,13
July 2021,Senegal,Africa,43263,130,608,1168,2
July 2021,Serbia,Europe,716643,81,1890,7047,0
July 2021,Seychelles,Africa,15579,0,1146,68,0
July 2021,Sierra Leone,Africa,5652,77,1988,102,2
July 2021,Singapore,Asia,62589,10,319,36,0
July 2021,Sint Maarten,North America,2618,0,38,33,0
July 2021,Slovakia,Europe,391659,17,448,12511,1
July 2021,Slovenia,Europe,257358,23,571,4419,0
July 2021,Solomon Islands,Australia/Oceania,20,0,0,,
July 2021,Somalia,Africa,14946,0,6925,775,0
July 2021,South Africa,Africa,1995556,21584,179734,61029,382
July 2021,South Korea,Asia,157723,762,7678,2021,3
July 2021,South Sudan,Africa,10846,12,215,117,0
July 2021,Spain,Europe,3821305,12345,136838,80883,8
July 2021,Sri Lanka,Asia,260972,1883,30012,3120,43
July 2021,State Of Palestine,Asia,314288,121,2420,3565,2
July 2021,Sudan,Africa,36709,51,3406,2760,6
July 2021,Suriname,South America,21936,204,3573,531,9
July 2021,Swaziland,Africa,19084,0,299,678,0
July 2021,Sweden,Europe,1090928,281,15134,14609,1
July 2021,Switzerland,Europe,703176,172,7661,10894,3
July 2021,Syria,Asia,25551,36,1841,1879,3
July 2021,Taiwan,Asia,14853,50,2584,661,13
July 2021,Tajikistan,Asia,13523,24,115,90,0
July 2021,Tanzania,Africa,509,0,305,21,0
July 2021,Thailand,Asia,264834,5533,52052,2080,57
July 2021,Timor Leste,Asia,9278,56,829,24,1
July 2021,Togo,Africa,13962,45,315,130,1
